,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
80,0500000US53061,"Snohomish County, Washington",424295,0.6,9.2,14.3,2.1,11.8,5,2,5.7,12.3,19.7,8.6,4.7,4,53,061
81,0500000US12103,"Pinellas County, Florida",463736,0.2,5.6,7.1,2.5,12.8,4.5,1.5,9.4,14.6,21.3,11.1,5.7,3.6,12,103
82,0500000US12101,"Pasco County, Florida",223564,0.5,8.3,5.7,2.4,14.3,4.1,1.9,7.9,13.2,23.2,9.5,5.1,3.9,12,101
83,0500000US17043,"DuPage County, Illinois",498676,0.2,4.8,12.9,4.1,9.3,6.4,2.4,8.7,14.9,21.4,8.5,4.4,2,17,043
84,0500000US17089,"Kane County, Illinois",275153,0.3,7,15.9,2.9,11.9,6.5,1.5,7.4,12.3,18.3,8.7,4.4,2.8,17,089
85,0500000US17197,"Will County, Illinois",360561,0.4,6.6,11.2,3.3,10.6,9.4,2.1,6.9,10.8,22.1,9.4,3.9,3.4,17,197
86,0500000US17097,"Lake County, Illinois",351948,0.3,5,15.3,4,12.3,4.6,1.6,7.9,14.7,20,7.9,4.2,2.2,17,097
87,0500000US53063,"Spokane County, Washington",239469,1,6.1,8.1,3.5,11.3,4.8,1.9,6,10.8,25.5,10.6,5.7,4.7,53,063
88,0500000US53053,"Pierce County, Washington",426648,0.7,7.5,8.7,3,11.1,7.7,1.4,4.8,10.1,23.3,9.9,4.6,7.2,53,053
89,0500000US55079,"Milwaukee County, Wisconsin",461177,0.3,3.6,14.8,2.2,11.2,5.9,2,6.3,10.7,26.3,9.1,4.5,3.2,55,079
90,0500000US31055,"Douglas County, Nebraska",296408,0.6,6.8,7.4,2.4,11.4,5.9,2.5,10.3,12,25.2,8.5,4,3,31,055
91,0500000US55025,"Dane County, Wisconsin",311345,1.4,5.2,9,1.9,9,3,2.9,8.3,13,30.1,7.2,3.9,4.9,55,025
92,0500000US18097,"Marion County, Indiana",466254,0.2,5.9,11.3,2.8,12.4,7.7,1.6,6.7,11.9,21.2,10.1,4.4,3.8,18,097
93,0500000US32003,"Clark County, Nevada",1058400,0.4,7.2,3.5,1.9,11.2,6.5,1.6,5.7,11.6,15.6,26.9,4.7,3.3,32,003
94,0500000US34023,"Middlesex County, New Jersey",414736,0.1,5.4,9.1,3.8,11,7.9,2.7,8.4,16.8,20.8,6.2,3.9,3.8,34,023
95,0500000US34025,"Monmouth County, New Jersey",322545,0.2,6.6,5.3,3.2,10.3,5.2,2.8,10.6,14.6,24.5,8.4,4.1,4.3,34,025
96,0500000US34029,"Ocean County, New Jersey",263534,0.3,8.7,5.4,2.4,12.3,5.3,2.3,6.6,10.3,27.6,8.7,5,5.1,34,029
97,0500000US34031,"Passaic County, New Jersey",247660,0,6,13.6,4.3,12.6,7,2.2,5.8,11,22.9,7,4.9,2.6,34,031
98,0500000US34003,"Bergen County, New Jersey",486527,0.2,6,7.8,4.3,10.7,4.8,2.8,9.5,13.4,25.8,6.5,5.4,2.7,34,003
99,0500000US34039,"Union County, New Jersey",296235,0.1,6.3,8.1,3.5,11,9.8,2.1,7.6,13.2,23.2,6.3,5.5,3.3,34,039
100,0500000US34017,"Hudson County, New Jersey",369645,0.1,5.6,6.3,3.3,10.4,6.9,3.7,12.1,16.8,18.2,9.5,4.2,3,34,017
101,0500000US35001,"Bernalillo County, New Mexico",317984,1.2,6.5,4.2,2,10.3,3.3,2.2,5.5,15.3,25.7,11.5,4.9,7.4,35,001
102,0500000US20173,"Sedgwick County, Kansas",249173,0.6,6.5,17.3,2.8,10.7,4.3,1.4,5,10.8,23.3,9.1,4.4,3.7,20,173
