,Unnamed: 0,0,NAME,GEO_ID,DP03_0068E,DP03_0069E,DP03_0066E,DP03_0067E,DP03_0064E,DP03_0065E,DP03_0062E,DP03_0063E,DP03_0060E,DP03_0061E,DP03_0070E,DP03_0071E,DP03_0078E,DP03_0079E,DP03_0076E,DP03_0077E,DP03_0074E,DP03_0075E,DP03_0072E,DP03_0073E,DP03_0082E,DP03_0083E,DP03_0080E,DP03_0081E,DP03_0088E,DP03_0089E,DP03_0086E,DP03_0087E,DP03_0084E,DP03_0085E,DP03_0094E,DP03_0092E,DP03_0093E,DP03_0090E,DP03_0091E,DP03_0058E,DP03_0059E,DP03_0056E,DP03_0057E,DP03_0054E,DP03_0055E,DP03_0052E,DP03_0053E,DP03_0051E,state,place,CITY,STATE
594,595,595,"Farmington Hills city, Michigan",1600000US2627440,7515,24563,11679,21901,25913,106310,85697,103390,4650,2962,1356,9803,222,492,139,51,1428,20421,669,2662,2727,5503,1802,3451,44210,12994,108676,126614,3366,2668,55146,47124,81252,50531,66250,4164,6724,3486,5894,1660,1860,1086,929,33415,26,27440,Farmington Hills, Michigan
595,596,596,"Livonia city, Michigan",1600000US2649000,8943,24996,12299,21033,28945,97689,77892,94124,4006,2623,1498,10740,415,768,165,200,986,24155,405,-999999999,4137,5744,2253,4648,38016,12651,95785,112185,3532,2293,50504,43401,62019,40869,55947,5770,6712,4311,6715,2259,2708,844,858,36806,26,49000,Livonia, Michigan
596,597,597,"Wyoming city, Michigan",1600000US2688940,4183,16580,6991,20901,22730,62941,51303,64694,667,885,1117,10612,1157,1317,385,366,3445,17320,1239,-999999999,3764,2137,3104,3631,24667,10118,66235,75723,636,823,35361,30006,39953,37267,41392,4541,2773,5510,5359,2586,3031,1107,979,27438,26,88940,Wyoming, Michigan
597,598,598,"Jackson city, Mississippi",1600000US2836000,11667,24421,16818,16332,47084,51284,41150,53686,1639,1225,5905,9423,3956,3941,2118,1202,11742,33719,1074,2089,4556,3471,5597,6734,20950,25587,50121,64281,1262,882,30942,24669,34768,27797,38479,5844,4386,10405,10324,9299,6897,5641,3646,59306,28,36000,Jackson, Mississippi
598,599,599,"Columbia city, Missouri",1600000US2915670,7580,24128,11206,18710,42105,69473,51163,73853,1828,2831,1931,10168,628,1732,619,1131,3679,23688,599,2802,3072,6243,2549,3892,29597,25749,85374,102356,1584,2238,40268,23856,51776,33098,46617,4546,7436,6340,8808,5083,6635,3506,2424,49437,29,15670,Columbia, Missouri
599,600,600,"Missoula city, Montana",1600000US3050200,4096,24730,7779,17438,27377,68601,53375,70306,1497,1239,632,8696,1053,1140,237,61,3386,16361,397,-999999999,2122,3449,2933,3192,30620,15918,69583,91504,1227,947,37262,25745,46732,32305,44536,3744,4269,4363,6150,2130,4121,2635,2131,32279,30,50200,Missoula, Montana
600,601,601,"Enterprise CDP, Nevada",1600000US3223770,7969,37109,10995,20224,55573,98340,81778,99423,5461,4741,1786,12413,1933,1580,975,591,3955,40717,925,5057,8146,8404,3136,8680,34838,22011,85043,102548,3921,3351,45038,41506,56482,61294,81501,10537,13841,7045,11725,3247,2587,2487,1057,62728,32,23770,Enterprise, Nevada
601,602,602,"Henderson city, Nevada",1600000US3231900,27216,33935,40649,21202,92326,95992,72884,96946,10650,10086,4034,10518,2586,5475,1510,1198,7119,78758,1866,4224,13926,16065,8534,13400,39020,41920,85539,109445,8378,7686,46492,41290,61565,46923,68789,18257,20272,14210,21338,7643,9885,5253,3084,120678,32,31900,Henderson, Nevada
602,603,603,"Clifton city, New Jersey",1600000US3413690,5341,22341,9257,19869,24891,104741,77397,99641,2342,3525,1379,9815,1696,1053,168,385,4240,22271,463,3162,4166,4207,2065,3475,35834,8376,87767,113747,1893,3163,47113,40567,52314,34138,53566,4747,5212,2689,4749,3351,1840,956,1236,30647,34,13690,Clifton, New Jersey
603,604,604,"Toms River CDP, New Jersey",1600000US3473110,7187,38673,13334,22355,25207,102193,78700,103370,3284,3584,1958,12656,759,1433,320,314,1577,23707,164,4262,3142,5820,2411,3477,38874,10328,99963,114777,2796,3235,50671,42437,68948,38464,71974,4595,6595,3720,4753,2281,3006,975,1242,34035,34,73110,Toms River, New Jersey
604,605,605,"Cheektowaga CDP, New York",1600000US3615000,7659,18530,11677,19591,24846,65598,53851,62658,1150,396,1369,12394,1276,2282,242,71,4854,18396,805,2939,3391,2897,2545,4349,28902,14712,67858,76442,974,369,42282,36423,42187,36189,42475,4407,4060,4652,7870,4011,3757,1603,1202,33108,36,15000,Cheektowaga, New York
605,606,606,"Yonkers city, New York",1600000US3684000,12864,31407,25549,18869,59106,96258,60436,88348,4853,7310,5959,9255,4076,3830,1522,619,14745,47549,4557,4649,5736,9454,3654,8585,36528,31629,79661,110339,3862,6211,55190,41222,54703,36181,51351,8735,12100,9182,12288,8335,6286,5965,4124,79178,36,84000,Yonkers, New York
