,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
81,"Kent city, Washington",1600000US5335415,64908,64772,99184,64772,-888888888.0,136,34276,61756,3016,11831,7108,29938,28660,49968,29938,20401,14116,53,35415
82,"Kirkland city, Washington",1600000US5335940,52534,52534,72087,52534,-888888888.0,0,19553,50919,1615,6944,4046,24287,23183,36602,24287,12771,8791,53,35940
83,"Tacoma city, Washington",1600000US5370000,116806,114676,173911,114676,-888888888.0,2130,57105,109639,5037,16403,11703,55836,53139,87657,56738,27728,20733,53,70000
84,"Ponce zona urbana, Puerto Rico",1600000US7263820,35725,35725,90693,35725,-888888888.0,0,54968,31364,4361,6030,3414,16517,14383,49228,16517,13235,6921,72,63820
85,"Mobile city, Alabama",1600000US0150000,84935,84592,155360,84592,-888888888.0,343,70425,79379,5213,12802,8833,43788,41754,84418,43788,23746,16068,01,50000
86,"Glendale city, Arizona",1600000US0427820,122953,121473,193202,121473,-888888888.0,1480,70249,114590,6883,21943,14195,56462,52957,98869,56763,37915,26986,04,27820
87,"Phoenix city, Arizona",1600000US0455000,879038,878647,1282748,878647,-888888888.0,391,403710,836635,42012,131677,84686,410133,389744,651681,410209,268975,186851,04,55000
88,"Scottsdale city, Arizona",1600000US0465000,139731,139731,222130,139731,-888888888.0,0,82399,134685,5046,10649,6451,63720,61777,112571,63720,28216,18332,04,65000
89,"Alameda city, California",1600000US0600562,44299,43911,63939,43911,-888888888.0,388,19640,42646,1265,5156,3834,21646,21215,33186,21693,10433,8759,06,00562
90,"Anaheim city, California",1600000US0602000,188066,188066,273400,188066,-888888888.0,0,85334,180144,7922,29912,19387,89591,85626,142660,89591,53442,38568,06,02000
91,"Bakersfield city, California",1600000US0603526,180674,180615,283923,180615,-888888888.0,59,103249,166626,13989,33985,21870,80920,76506,142465,80979,72313,50011,06,03526
92,"Castro Valley CDP, California",1600000US0611964,32475,32475,50066,32475,-888888888.0,0,17591,31753,722,4738,2983,16238,15830,26886,16238,10179,7717,06,11964
93,"Compton city, California",1600000US0615044,38571,38571,69130,38571,-888888888.0,0,30559,35336,3235,9625,5905,17875,16091,36659,17875,19161,11102,06,15044
94,"Escondido city, California",1600000US0622804,77889,76858,121440,76858,-888888888.0,1031,43551,74053,2805,10811,8590,35233,33875,61686,35268,21924,13998,06,22804
95,"Indio city, California",1600000US0636448,49613,49613,79130,49613,-888888888.0,0,29517,43059,6554,4962,3789,25587,21637,42222,25587,8626,6802,06,36448
96,"Madera city, California",1600000US0645022,30912,30912,46565,30912,-888888888.0,0,15653,25987,4925,8168,6439,13854,11517,23169,13854,12998,9642,06,45022
97,"Manteca city, California",1600000US0645484,38679,38575,64883,38575,-888888888.0,104,26204,35823,2752,6247,2983,17979,16791,33527,17979,11542,7412,06,45484
98,"Oceanside city, California",1600000US0653322,97262,95496,143499,95496,-888888888.0,1766,46237,89845,5651,11204,7750,46395,43461,75149,46569,23690,18196,06,53322
99,"San Bernardino city, California",1600000US0665000,96435,96435,157976,96435,-888888888.0,0,61541,87251,9184,18495,13345,44184,39444,81767,44184,40959,24855,06,65000
100,"San Mateo city, California",1600000US0668252,60024,60024,85185,60024,-888888888.0,0,25161,57250,2774,8187,6911,28576,27018,42678,28576,12419,10615,06,68252
101,"Santa Rosa city, California",1600000US0670098,96117,96040,144293,96040,-888888888.0,77,48176,91478,4562,11249,7386,45123,42848,75738,45200,24221,16973,06,70098
102,"Vacaville city, California",1600000US0681554,46435,45455,78756,45455,-888888888.0,980,32321,43884,1571,6315,3950,22753,22005,37760,23046,17343,13449,06,81554
103,"Vista city, California",1600000US0682996,56025,54964,80155,54964,-888888888.0,1061,24130,52888,2076,8462,5505,24899,23895,38755,25033,14898,10385,06,82996
104,"Whittier city, California",1600000US0685292,45992,45992,70045,45992,-888888888.0,0,24053,44295,1697,-999999999,-999999999,21709,21077,35973,21709,-999999999,-999999999,06,85292
105,"Aurora city, Colorado",1600000US0804000,211754,210532,293565,210532,-888888888.0,1222,81811,202045,8487,28907,20712,99427,95530,151068,99521,57265,43473,08,04000
106,"Centennial city, Colorado",1600000US0812815,61794,61739,87438,61739,-888888888.0,55,25644,60091,1648,8651,5480,28203,27585,43376,28203,17747,12615,08,12815
107,"Waterbury city, Connecticut",1600000US0980000,54534,54534,84874,54534,-888888888.0,0,30340,49185,5349,7788,5997,28134,26046,46134,28134,16831,12651,09,80000
108,"Hialeah city, Florida",1600000US1230000,129109,129109,204693,129109,-888888888.0,0,75584,123454,5655,13363,9783,58829,55076,103638,58829,23662,19467,12,30000
109,"Jupiter town, Florida",1600000US1235875,35938,35938,55633,35938,-888888888.0,0,19695,34637,1301,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,35875
110,"Wellington village, Florida",1600000US1275812,32851,32659,49622,32659,-888888888.0,192,16771,31223,1436,3922,2993,16492,15581,27045,16492,14922,9137,12,75812
111,"Albany city, Georgia",1600000US1301052,32571,32516,56568,32516,-888888888.0,55,23997,28585,3931,5531,4106,18051,16322,31183,18051,9212,7389,13,01052
