,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
331,"Pasadena city, California",1600000US0656000,73957,73957,116214,73957,-888888888.0,0,42257,71592,2365,9916,6568,37953,36454,63197,37953,16730,11249,06,56000
332,"Pomona city, California",1600000US0658072,73434,73387,117275,73387,-888888888.0,47,43841,68637,4750,12321,6881,33495,31338,62938,33495,24449,13576,06,58072
333,"Rancho Cordova city, California",1600000US0659444,36358,36083,58799,36083,-888888888.0,275,22441,34333,1750,6186,3534,16928,16089,29935,16928,10450,6306,06,59444
334,"San Francisco city, California",1600000US0667000,557529,557213,776750,557213,-888888888.0,316,219221,536653,20560,43920,32887,258612,250661,380076,258684,69226,52484,06,67000
335,"San Leandro city, California",1600000US0668084,50661,50551,74963,50551,-888888888.0,110,24302,48974,1577,4900,4022,24850,24453,39073,24900,10466,7740,06,68084
336,"Upland city, California",1600000US0681344,40147,40056,61238,40056,-888888888.0,91,21091,38690,1366,5686,4006,19055,18200,31864,19055,11460,8396,06,81344
337,"Victorville city, California",1600000US0682590,45196,45196,85545,45196,-888888888.0,0,40349,41645,3551,12139,6759,20303,18086,44463,20303,25126,14552,06,82590
338,"Highlands Ranch CDP, Colorado",1600000US0836410,61762,61762,83435,61762,-888888888.0,0,21673,59996,1766,5554,3235,29026,28047,42601,29026,22695,16412,08,36410
339,"Lakewood city, Colorado",1600000US0843000,92001,92001,132987,92001,-888888888.0,0,40986,88995,3006,7605,4456,44689,44054,68595,44689,15928,12501,08,43000
340,"Westminster city, Colorado",1600000US0883835,67607,67607,93700,67607,-888888888.0,0,26093,65692,1915,7971,4794,29900,28917,46373,29900,14308,10247,08,83835
341,"Stamford city, Connecticut",1600000US0973000,76862,76862,106924,76862,-888888888.0,0,30062,71928,4934,8762,4787,36826,34251,56313,36826,15143,12437,09,73000
342,"Boca Raton city, Florida",1600000US1207300,46907,46907,84631,46907,-888888888.0,0,37724,44244,2663,5679,2726,21727,20436,44160,21727,10237,6493,12,07300
343,"Daytona Beach city, Florida",1600000US1216525,30666,30666,59125,30666,-888888888.0,0,28459,27848,2818,-999999999,-999999999,13944,13554,29559,13944,-999999999,-999999999,12,16525
344,"Delray Beach city, Florida",1600000US1217100,35583,35583,60462,35583,-888888888.0,0,24879,33747,1836,2807,1166,17666,16743,31585,17666,6925,5296,12,17100
345,"Homestead city, Florida",1600000US1232275,32409,31921,48311,31921,-888888888.0,488,15902,29875,2046,8155,5016,-999999999,-999999999,-999999999,-999999999,14906,11473,12,32275
346,"Miami city, Florida",1600000US1245000,246734,246583,395662,246583,-888888888.0,151,148928,235956,10627,29640,19777,114319,110521,203217,114319,50569,33108,12,45000
347,"Sunrise city, Florida",1600000US1269700,53358,53358,80710,53358,-888888888.0,0,27352,50353,3005,5163,3418,-999999999,-999999999,-999999999,-999999999,11308,9728,12,69700
348,"Athens-Clarke County unified government (balance), Georgia",1600000US1303440,62724,62560,107171,62560,-888888888.0,164,44447,59235,3325,7260,5087,31709,30388,56555,31745,13164,9105,13,03440
349,"Carmel city, Indiana",1600000US1810342,54115,54115,74689,54115,-888888888.0,0,20574,52873,1242,-999999999,-999999999,25523,24800,39316,25523,-999999999,-999999999,18,10342
350,"Evansville city, Indiana",1600000US1822000,60633,60633,96051,60633,-888888888.0,0,35418,55789,4844,8885,6910,30327,28180,50339,30327,13802,11299,18,22000
351,"Shawnee city, Kansas",1600000US2064500,37539,37539,50489,37539,-888888888.0,0,12950,36388,1151,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20,64500
352,"New Orleans city, Louisiana",1600000US2255000,191644,191079,320960,191079,-888888888.0,565,129316,176055,15024,25696,18637,99766,92296,171557,99938,47678,34989,22,55000
353,"Shreveport city, Louisiana",1600000US2270000,87877,87637,148579,87637,-888888888.0,240,60702,81522,6115,12980,10281,43655,41135,79842,43655,29012,22855,22,70000
354,"Sterling Heights city, Michigan",1600000US2676460,68650,68650,106778,68650,-888888888.0,0,38128,67247,1403,10531,5928,30908,30031,54206,30908,18523,11907,26,76460
355,"Warren city, Michigan",1600000US2684000,70527,70483,112878,70483,-888888888.0,44,42351,65439,5044,7682,4869,33260,30913,58689,33260,16171,11027,26,84000
356,"St. Cloud city, Minnesota",1600000US2756896,40531,40464,57016,40464,-888888888.0,67,16485,36517,3947,-999999999,-999999999,20407,19065,27546,20407,-999999999,-999999999,27,56896
357,"Woodbury city, Minnesota",1600000US2771428,39031,39031,53851,39031,-888888888.0,0,14820,38392,639,5591,3897,-999999999,-999999999,-999999999,-999999999,14053,11732,27,71428
358,"Gulfport city, Mississippi",1600000US2829700,33153,32078,56030,32078,-888888888.0,1075,22877,27251,4827,6291,4666,16034,13118,29233,16085,10172,7128,28,29700
359,"Bayonne city, New Jersey",1600000US3403580,33183,33183,50112,33183,-888888888.0,0,16929,31762,1421,4553,2557,14701,14118,25810,14701,11385,8213,34,03580
360,"Paterson city, New Jersey",1600000US3457000,68829,68578,109194,68578,-888888888.0,251,40365,66657,1921,12704,7431,31235,29917,54855,31486,25576,17640,34,57000
361,"Albuquerque city, New Mexico",1600000US3502000,289935,287858,453912,287858,-888888888.0,2077,163977,271351,16507,34977,24365,139395,130673,234701,139658,77406,56421,35,02000
362,"Buffalo city, New York",1600000US3611000,121899,121806,202473,121806,-888888888.0,93,80574,114478,7328,19964,10815,62353,58810,106973,62353,35685,21057,36,11000
363,"New Rochelle city, New York",1600000US3650617,43324,43324,63684,43324,-888888888.0,0,20360,40392,2932,-999999999,-999999999,20964,19744,33665,20964,-999999999,-999999999,36,50617
364,"Charlotte city, North Carolina",1600000US3712000,493963,493415,693681,493415,-888888888.0,548,199718,472775,20640,63337,41056,236473,227353,363701,236541,128024,95476,37,12000
365,"Oklahoma City city, Oklahoma",1600000US4055000,338003,334762,498642,334762,-888888888.0,3241,160639,322064,12698,54013,34954,162477,156864,258521,163109,105660,73742,40,55000
366,"Bend city, Oregon",1600000US4105800,50988,50903,75573,50903,-888888888.0,85,24585,49213,1690,7703,5020,-999999999,-999999999,-999999999,-999999999,16400,13210,41,05800
367,"Eugene city, Oregon",1600000US4123850,92276,92167,144667,92167,-888888888.0,109,52391,86624,5543,10082,6563,46177,43733,75515,46177,16347,11416,41,23850
368,"Medford city, Oregon",1600000US4147000,40823,40753,65431,40753,-888888888.0,70,24608,38866,1887,6564,3789,19886,19033,34715,19886,11468,6711,41,47000
369,"Salem city, Oregon",1600000US4164900,86014,85974,136968,85974,-888888888.0,40,50954,80789,5185,11188,6948,40656,38292,67599,40656,28418,21853,41,64900
370,"North Charleston city, South Carolina",1600000US4550875,60412,58621,90836,58621,-888888888.0,1791,30424,56576,2045,8776,6085,29267,27954,47926,30035,19264,14509,45,50875
371,"Chattanooga city, Tennessee",1600000US4714000,94999,94831,149938,94831,-888888888.0,168,54939,87882,6949,10978,7359,46478,42915,80317,46478,20393,15767,47,14000
372,"Atascocita CDP, Texas",1600000US4804462,44447,44447,65179,44447,-888888888.0,0,20732,42267,2180,5902,3839,19153,18239,31464,19153,16896,11293,48,04462
373,"Austin city, Texas",1600000US4805000,587237,586887,793143,586887,-888888888.0,350,205906,564744,22143,68888,41853,266845,257371,393194,266889,113241,78113,48,05000
374,"Bryan city, Texas",1600000US4810912,39878,39878,65237,39878,-888888888.0,0,25359,38475,1403,7202,3589,17732,17062,32072,17732,13991,6561,48,10912
375,"Killeen city, Texas",1600000US4839148,72752,67714,108555,67714,-888888888.0,5038,35803,61414,6300,16847,10887,32722,29120,55659,33536,27245,18055,48,39148
376,"New Braunfels city, Texas",1600000US4850820,39713,39009,66253,39009,-888888888.0,704,26540,37691,1318,8041,4763,-999999999,-999999999,-999999999,-999999999,12067,7635,48,50820
377,"Tyler city, Texas",1600000US4874144,50991,50690,82295,50690,-888888888.0,301,31304,48631,2059,10540,6906,25170,24450,44375,25170,14918,11968,48,74144
378,"Wichita Falls city, Texas",1600000US4879000,51747,47023,83522,47023,-888888888.0,4724,31775,44009,3014,7972,4910,21190,19373,39900,22103,13992,9800,48,79000
379,"Ogden city, Utah",1600000US4955980,44440,44440,66869,44440,-888888888.0,0,22429,42496,1944,7350,5415,20757,19812,34149,20757,14504,10163,49,55980
380,"Sandy city, Utah",1600000US4967440,52572,52572,77778,52572,-888888888.0,0,25206,51726,846,6689,4278,23057,22937,38887,23057,14450,7785,49,67440
381,"South Jordan city, Utah",1600000US4970850,37588,37588,53014,37588,-888888888.0,0,15426,36808,780,7637,2134,-999999999,-999999999,-999999999,-999999999,15996,8902,49,70850
382,"Seattle city, Washington",1600000US5363000,470517,469613,641206,469613,-888888888.0,904,170689,451954,17659,43795,28790,219035,211257,315234,219176,63937,50086,53,63000
383,"Appleton city, Wisconsin",1600000US5502375,39062,39062,58347,39062,-888888888.0,0,19285,37941,1121,6641,4979,18796,18130,29957,18796,11004,9781,55,02375
384,"Racine city, Wisconsin",1600000US5566000,37931,37931,59690,37931,-888888888.0,0,21759,35793,2138,6496,4475,19244,18306,30499,19244,13008,9372,55,66000
385,"Auburn city, Alabama",1600000US0103076,33219,33186,54891,33186,-888888888.0,33,21672,32193,993,4134,2190,-999999999,-999999999,-999999999,-999999999,7602,5393,01,03076
386,"Montgomery city, Alabama",1600000US0151000,93082,91451,156301,91451,-888888888.0,1631,63219,85018,6433,15488,10842,47432,44436,84603,47774,28559,20437,01,51000
387,"Avondale city, Arizona",1600000US0404720,42956,42694,63964,42694,-888888888.0,262,21008,40770,1924,7770,4599,19836,18803,32660,19836,15607,11064,04,04720
388,"Tucson city, Arizona",1600000US0477000,269469,264204,441258,264204,-888888888.0,5265,171789,249028,15176,39119,26180,126713,118743,225495,128075,70447,49433,04,77000
389,"Springdale city, Arkansas",1600000US0566080,42065,41980,60649,41980,-888888888.0,85,18584,40747,1233,7721,5033,18901,18387,30831,18901,15403,12692,05,66080
390,"Baldwin Park city, California",1600000US0603666,40480,40480,62045,40480,-888888888.0,0,21565,37753,2727,4578,2325,17794,16626,30633,17794,10107,7027,06,03666
391,"Berkeley city, California",1600000US0606000,66156,66156,109560,66156,-888888888.0,0,43404,63601,2555,4474,3688,32282,31206,55708,32282,8336,6323,06,06000
392,"Chula Vista city, California",1600000US0613392,140943,137353,207852,137353,-888888888.0,3590,66909,126543,10810,21097,14624,66601,60727,105014,67347,48275,37430,06,13392
393,"Florence-Graham CDP, California",1600000US0624477,28670,28640,46105,28640,-888888888.0,30,17435,26219,2421,5953,3004,11492,10255,23158,11492,14054,9230,06,24477
394,"Inglewood city, California",1600000US0636546,57752,57708,83748,57708,-888888888.0,44,25996,53851,3857,8589,6139,29055,26970,44714,29099,18730,14943,06,36546
395,"Long Beach city, California",1600000US0643000,251344,251054,380653,251054,-888888888.0,290,129309,238174,12880,33704,22978,120911,114695,195213,120994,57619,38624,06,43000
396,"Lynwood city, California",1600000US0644574,31618,31618,52688,31618,-888888888.0,0,21070,29374,2244,6988,3565,13995,13012,27216,13995,11384,7758,06,44574
397,"Palmdale city, California",1600000US0655156,70844,70658,116513,70658,-888888888.0,186,45669,66401,4257,11953,8808,31912,29540,61080,31912,30802,20584,06,55156
398,"Palo Alto city, California",1600000US0655282,34843,34843,54883,34843,-888888888.0,0,20040,33449,1394,-999999999,-999999999,17288,16569,29270,17288,-999999999,-999999999,06,55282
399,"Pittsburg city, California",1600000US0657456,39232,39232,55492,39232,-888888888.0,0,16260,36636,2596,5725,4070,19720,18249,30109,19720,12053,8326,06,57456
400,"Pleasanton city, California",1600000US0657792,42949,42949,63676,42949,-888888888.0,0,20727,41839,1110,5450,3181,18355,17953,31452,18355,15359,9851,06,57792
401,"San Jose city, California",1600000US0668000,568826,568503,828096,568503,-888888888.0,323,259270,544945,23558,71712,49186,257574,246409,415436,257574,147168,104405,06,68000
402,"San Marcos city, California",1600000US0668196,50294,49993,75532,49993,-888888888.0,301,25238,48552,1441,8068,5419,22311,21539,37386,22345,14360,9797,06,68196
403,"Santa Barbara city, California",1600000US0669070,50513,50513,77171,50513,-888888888.0,0,26658,48216,2297,6622,4918,22544,21519,38620,22544,8826,6577,06,69070
404,"Santa Maria city, California",1600000US0669196,50387,50387,75699,50387,-888888888.0,0,25312,47609,2778,11218,8489,23101,21154,38138,23101,21284,15525,06,69196
405,"Vallejo city, California",1600000US0681666,65221,65080,100343,65080,-888888888.0,141,35122,60125,4955,7151,5514,31084,29018,52153,31084,15690,11942,06,81666
406,"Pueblo city, Colorado",1600000US0862000,48271,48271,90044,48271,-888888888.0,0,41773,44360,3911,7712,4964,23010,21646,46045,23010,12993,9712,08,62000
407,"Wilmington city, Delaware",1600000US1077580,36142,35639,56863,35639,-888888888.0,503,20721,32276,3363,4794,3042,18097,16696,28665,18097,9387,7862,10,77580
408,"Washington city, District of Columbia",1600000US1150000,414568,412057,586358,412057,-888888888.0,2511,171790,380983,31074,50866,38807,215984,199652,311354,216336,70163,56691,11,50000
409,"Brandon CDP, Florida",1600000US1208150,63694,63520,98544,63520,-888888888.0,174,34850,59985,3535,6975,4305,30590,28562,50812,30590,16299,11096,12,08150
410,"Gainesville city, Florida",1600000US1225175,69357,69254,115692,69254,-888888888.0,103,46335,65272,3982,7655,4981,34730,33254,58944,34730,11208,9976,12,25175
411,"Largo city, Florida",1600000US1239425,43113,42936,73709,42936,-888888888.0,177,30596,39766,3170,-999999999,-999999999,22097,20664,40128,22252,-999999999,-999999999,12,39425
412,"Miami Beach city, Florida",1600000US1245025,56935,56749,80250,56749,-888888888.0,186,23315,54115,2634,4613,1974,23796,22808,38882,23877,7282,5525,12,45025
413,"Miami Gardens city, Florida",1600000US1245060,51677,51677,89395,51677,-888888888.0,0,37718,48148,3529,6142,4052,27213,24939,50896,27213,20340,13757,12,45060
414,"Palm Bay city, Florida",1600000US1254000,50495,50495,94585,50495,-888888888.0,0,44090,47684,2811,8599,6332,23952,22546,48178,23952,12957,8427,12,54000
415,"Tallahassee city, Florida",1600000US1270600,108293,108170,162358,108170,-888888888.0,123,54065,99751,8419,11652,7983,58012,53746,87246,58012,21161,17694,12,70600
416,"Columbus city, Georgia",1600000US1319000,89569,83876,150923,83876,-888888888.0,5693,61354,75494,8382,15397,9301,43388,38520,78701,43506,29959,21128,13,19000
417,"Bloomington city, Illinois",1600000US1706613,41148,41100,61577,41100,-888888888.0,48,20429,39384,1716,6258,4262,18984,18224,31292,18984,11421,9406,17,06613
418,"Champaign city, Illinois",1600000US1712385,43917,43723,73182,43723,-888888888.0,194,29265,40943,2780,5880,4004,20598,19705,36805,20598,9476,8007,17,12385
419,"Elgin city, Illinois",1600000US1723074,58151,58151,86906,58151,-888888888.0,0,28755,55101,3050,8978,6313,27238,25682,44655,27238,17067,10845,17,23074
420,"Evanston city, Illinois",1600000US1724582,38396,38396,59990,38396,-888888888.0,0,21594,36930,1466,4183,3567,19368,18884,32327,19368,11240,8908,17,24582
421,"Naperville city, Illinois",1600000US1751622,78204,78204,115165,78204,-888888888.0,0,36961,74966,3238,9031,5944,34338,32787,58436,34338,28091,19227,17,51622
422,"Bloomington city, Indiana",1600000US1805860,45354,45295,77919,45295,-888888888.0,59,32565,42233,3062,-999999999,-999999999,21878,20445,37619,21878,-999999999,-999999999,18,05860
423,"Fishers city, Indiana",1600000US1823278,49991,49916,69208,49916,-888888888.0,75,19217,48654,1262,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18,23278
424,"Gary city, Indiana",1600000US1827000,27897,27897,54403,27897,-888888888.0,0,26506,25170,2727,5876,4022,15868,14279,30661,15868,9740,7788,18,27000
425,"Indianapolis city (balance), Indiana",1600000US1836003,450288,449553,674087,449553,-888888888.0,735,223799,422907,26646,67995,49829,223156,209545,354887,223271,125433,95356,18,36003
426,"Muncie city, Indiana",1600000US1851876,33193,33053,57337,33053,-888888888.0,140,24144,30804,2249,5285,3346,17844,17072,31157,17844,8163,4084,18,51876
427,"Ames city, Iowa",1600000US1901855,39270,39224,60238,39224,-888888888.0,46,20968,36455,2769,3241,1993,18093,16515,27596,18093,4263,3301,19,01855
428,"Cedar Rapids city, Iowa",1600000US1912000,74477,74373,107257,74373,-888888888.0,104,32780,72354,2019,9654,7728,36925,35904,55144,36925,16956,14123,19,12000
429,"Des Moines city, Iowa",1600000US1921000,118701,118609,168705,118609,-888888888.0,92,50004,112491,6118,17178,11956,57581,55028,87976,57581,34018,27618,19,21000
430,"Glen Burnie CDP, Maryland",1600000US2432650,39055,38528,54350,38528,-888888888.0,527,15295,37444,1084,4616,3817,19032,18489,28146,19079,7141,4530,24,32650
431,"Rockville city, Maryland",1600000US2467675,40655,40518,55831,40518,-888888888.0,137,15176,39420,1098,4225,2705,19956,19434,29380,20008,9074,6412,24,67675
432,"Framingham city, Massachusetts",1600000US2524960,47089,47089,62015,47089,-888888888.0,0,14926,44166,2923,-999999999,-999999999,21200,19460,29865,21200,-999999999,-999999999,25,24960
433,"Lakeville city, Minnesota",1600000US2735180,35833,35833,49278,35833,-888888888.0,0,13445,35231,602,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,27,35180
434,"St. Paul city, Minnesota",1600000US2758000,168587,168587,240913,168587,-888888888.0,0,72326,161190,7397,25435,19155,83838,79883,123437,83838,46427,34368,27,58000
435,"O'Fallon city, Missouri",1600000US2954074,48350,48304,66156,48304,-888888888.0,46,17806,46256,2048,7487,5053,22433,21876,33765,22433,16797,13533,29,54074
436,"St. Louis city, Missouri",1600000US2965000,169150,168765,251015,168765,-888888888.0,385,81865,158338,10427,20613,15513,86408,81831,130387,86408,34501,25141,29,65000
437,"Reno city, Nevada",1600000US3260600,140577,140163,205701,140163,-888888888.0,414,65124,134174,5989,15429,12104,67121,63876,102397,67489,32625,25999,32,60600
438,"Elizabeth city, New Jersey",1600000US3421000,65372,65372,96471,65372,-888888888.0,0,31099,63597,1775,12343,6941,28822,27827,47605,28822,22238,16648,34,21000
439,"Newark city, New Jersey",1600000US3451000,139814,139689,219872,139689,-888888888.0,125,80058,128606,11083,25100,18502,67068,60929,113728,67068,41361,32481,34,51000
440,"Albany city, New York",1600000US3601000,53878,53878,82499,53878,-888888888.0,0,28621,50151,3727,-999999999,-999999999,28392,26002,44040,28392,-999999999,-999999999,36,01000
441,"Fayetteville city, North Carolina",1600000US3722920,108344,84683,166072,84683,-888888888.0,23661,57728,78322,6361,17625,10313,46494,42569,83700,48720,28546,19857,37,22920
442,"Greensboro city, North Carolina",1600000US3728000,148474,148257,235905,148257,-888888888.0,217,87431,139287,8970,20173,13947,76708,71856,127143,76708,39351,29844,37,28000
443,"Raleigh city, North Carolina",1600000US3755000,270854,270699,386157,270699,-888888888.0,155,115303,261800,8899,30772,22332,133634,128957,202856,133634,62385,46026,37,55000
444,"Canton city, Ohio",1600000US3912000,32174,32174,52867,32174,-888888888.0,0,20693,28481,3693,6920,4341,15846,14726,27596,15846,10646,7368,39,12000
445,"Broken Arrow city, Oklahoma",1600000US4009050,57054,56822,84474,56822,-888888888.0,232,27420,54737,2085,8603,4785,27943,26848,44584,28003,19359,13524,40,09050
446,"Beaverton city, Oregon",1600000US4105350,57476,57476,77351,57476,-888888888.0,0,19875,55927,1549,8862,6735,25542,24900,38876,25542,14169,11174,41,05350
447,"Gresham city, Oregon",1600000US4131250,57263,57199,85644,57199,-888888888.0,64,28381,53926,3273,8799,4767,26431,24994,43482,26431,16570,12138,41,31250
448,"Hillsboro city, Oregon",1600000US4134100,59170,59170,85257,59170,-888888888.0,0,26087,56174,2996,10072,4702,25645,23891,43233,25645,15094,9234,41,34100
449,"Allentown city, Pennsylvania",1600000US4202000,61408,61408,95670,61408,-888888888.0,0,34262,54993,6415,8492,5891,30531,26776,49527,30531,19353,13397,42,02000
450,"Providence city, Rhode Island",1600000US4459000,84700,84611,143652,84611,-888888888.0,89,58952,77898,6713,15024,9392,42132,39554,75261,42180,23171,16992,44,59000
451,"Mount Pleasant town, South Carolina",1600000US4548535,49350,48487,72570,48487,-888888888.0,863,23220,47257,1230,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45,48535
452,"Harlingen city, Texas",1600000US4832372,28723,28699,49738,28699,-888888888.0,24,21015,27453,1246,5957,2906,12924,12729,25179,12924,9852,7064,48,32372
453,"Richardson city, Texas",1600000US4861796,64711,64711,97977,64711,-888888888.0,0,33266,62079,2632,8122,3937,29455,27796,47968,29455,17309,12512,48,61796
454,"Layton city, Utah",1600000US4943660,39035,38818,56544,38818,-888888888.0,217,17509,37873,945,6814,3470,16418,16147,27674,16418,15715,8830,49,43660
455,"Lehi city, Utah",1600000US4944320,29297,29091,42821,29091,-888888888.0,206,13524,28091,1000,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,49,44320
456,"Arlington CDP, Virginia",1600000US5103000,159306,155059,198604,155059,-888888888.0,4247,39298,151920,3139,16251,11469,74802,73242,98953,75059,26010,21417,51,03000
457,"Centreville CDP, Virginia",1600000US5114440,48766,48495,62482,48495,-888888888.0,271,13716,46504,1991,-999999999,-999999999,22937,21924,31582,22969,-999999999,-999999999,51,14440
458,"Lynchburg city, Virginia",1600000US5147672,38329,38248,67335,38248,-888888888.0,81,29006,35609,2639,5978,4152,18284,17320,36148,18284,9483,6686,51,47672
459,"Richmond city, Virginia",1600000US5167000,124982,124361,193398,124361,-888888888.0,621,68416,118905,5456,15089,11845,64320,60843,102901,64320,21464,17487,51,67000
460,"Bellingham city, Washington",1600000US5305280,52323,52229,79429,52229,-888888888.0,94,27106,49684,2545,4181,2802,25433,24377,40191,25442,7260,6090,53,05280
461,"Federal Way city, Washington",1600000US5323515,49769,49720,74529,49720,-888888888.0,49,24760,47189,2531,10116,5708,22197,21296,35936,22197,13818,9294,53,23515
462,"Redmond city, Washington",1600000US5357535,37409,37337,51096,37337,-888888888.0,72,13687,35790,1547,-999999999,-999999999,15315,14358,25258,15387,-999999999,-999999999,53,57535
463,"Eau Claire city, Wisconsin",1600000US5522300,38121,38121,57033,38121,-888888888.0,0,18912,36843,1278,3738,2791,20505,19792,29682,20505,8774,6684,55,22300
464,"San Juan zona urbana, Puerto Rico",1600000US7276770,140731,140488,261389,140488,-888888888.0,243,120658,118303,22185,15146,11090,68782,58009,144381,68833,36697,27963,72,76770
465,"Birmingham city, Alabama",1600000US0107000,98346,98251,170555,98251,-888888888.0,95,72209,88405,9846,14466,10604,52150,47011,93787,52150,23735,16857,01,07000
466,"Dothan city, Alabama",1600000US0121184,31330,31146,53907,31146,-888888888.0,184,22577,29267,1879,4934,3761,14977,14114,28621,14989,9371,6924,01,21184
467,"Tuscaloosa city, Alabama",1600000US0177256,49926,49875,85358,49875,-888888888.0,51,35432,47292,2583,6849,5720,26182,24673,44901,26182,10519,6895,01,77256
468,"Anchorage municipality, Alaska",1600000US0203000,161380,152967,227669,152967,-888888888.0,8413,66289,144628,8339,23884,14133,72001,68675,111757,73166,44385,30424,02,03000
469,"Chandler city, Arizona",1600000US0412000,142896,142811,200583,142811,-888888888.0,85,57687,137551,5260,18741,10250,66516,64213,102037,66516,41898,29190,04,12000
470,"Conway city, Arkansas",1600000US0515190,33715,33573,54840,33573,-888888888.0,142,21125,32566,1007,5439,2908,17013,16343,30180,17013,7202,5057,05,15190
471,"Antioch city, California",1600000US0602252,54796,54709,86434,54709,-888888888.0,87,31638,50684,4025,9293,4834,26021,24391,44112,26021,17506,12089,06,02252
472,"Burbank city, California",1600000US0608954,54731,54678,87301,54678,-888888888.0,53,32570,52769,1909,-999999999,-999999999,24543,23844,44157,24543,-999999999,-999999999,06,08954
473,"Carlsbad city, California",1600000US0611194,59940,59455,95000,59455,-888888888.0,485,35060,57491,1964,-999999999,-999999999,28629,27883,49308,28849,-999999999,-999999999,06,11194
474,"Corona city, California",1600000US0616350,82642,82507,125550,82507,-888888888.0,135,42908,79558,2949,13679,9012,35382,33974,62456,35382,33445,22193,06,16350
475,"Daly City city, California",1600000US0617918,64871,64871,92848,64871,-888888888.0,0,27977,62176,2695,5610,4059,32167,31563,48523,32167,9246,7772,06,17918
476,"Fremont city, California",1600000US0626000,128398,128333,190200,128333,-888888888.0,65,61802,124130,4203,17360,9898,53825,52173,93099,53825,34865,23260,06,26000
477,"Laguna Niguel city, California",1600000US0639248,36467,36400,56446,36400,-888888888.0,67,19979,35339,1061,3373,2503,16596,16444,28453,16596,7982,3882,06,39248
478,"Lancaster city, California",1600000US0640130,59787,59569,115892,59569,-888888888.0,218,56105,54926,4643,16422,7740,26197,23633,56647,26197,28499,15037,06,40130
479,"Los Angeles city, California",1600000US0644000,2191769,2190801,3274183,2190801,-888888888.0,968,1082414,2060137,130664,260563,171902,997552,938062,1649965,997829,509901,342407,06,44000
480,"Menifee city, California",1600000US0646842,41032,40471,71349,40471,-888888888.0,561,30317,37131,3340,7172,3945,18602,17156,37113,18749,15864,11925,06,46842
481,"Rancho Cucamonga city, California",1600000US0659451,90270,90270,139578,90270,-888888888.0,0,49308,85895,4375,13794,8604,41089,39124,70998,41089,27182,20152,06,59451
482,"Rialto city, California",1600000US0660466,50338,50288,78787,50288,-888888888.0,50,28449,44680,5608,9475,6287,23241,20609,40841,23241,16699,10838,06,60466
483,"Richmond city, California",1600000US0660620,60608,60608,89028,60608,-888888888.0,0,28420,57791,2817,8254,4992,29181,27591,44175,29181,13891,10000,06,60620
484,"Riverside city, California",1600000US0662000,165821,165274,261471,165274,-888888888.0,547,95650,156254,9020,26591,17183,77718,72541,134620,77763,48212,33441,06,62000
485,"Salinas city, California",1600000US0664224,71338,71236,112404,71236,-888888888.0,102,41066,67750,3486,14870,8598,30340,29059,54786,30340,32031,18583,06,64224
486,"San Clemente city, California",1600000US0665084,32766,32560,53353,32560,-888888888.0,206,20587,31085,1475,4324,3219,15288,14683,27149,15288,8727,5520,06,65084
487,"Santa Cruz city, California",1600000US0669112,34974,34974,56788,34974,-888888888.0,0,21814,32237,2737,-999999999,-999999999,18674,16662,30796,18674,-999999999,-999999999,06,69112
488,"South Gate city, California",1600000US0673080,47040,47040,69775,47040,-888888888.0,0,22735,42578,4462,7948,6061,19445,17530,34941,19445,18759,14108,06,73080
489,"Temecula city, California",1600000US0678120,53124,51719,83671,51719,-888888888.0,1405,30547,49506,2213,8683,4106,24153,23061,43943,24239,26028,17705,06,78120
490,"Tracy city, California",1600000US0680238,49040,49040,70020,49040,-888888888.0,0,20980,47555,1485,6331,3696,21157,20459,34660,21157,17487,12070,06,80238
491,"Turlock city, California",1600000US0680812,34878,34878,55816,34878,-888888888.0,0,20938,32009,2869,6982,3734,16495,14506,29383,16495,13208,9560,06,80812
492,"Walnut Creek city, California",1600000US0683346,35174,35174,61508,35174,-888888888.0,0,26334,33435,1739,2801,2105,-999999999,-999999999,-999999999,-999999999,6376,4242,06,83346
493,"West Covina city, California",1600000US0684200,54239,54239,85374,54239,-888888888.0,0,31135,51201,3038,6345,3679,28459,27100,47012,28459,15898,12924,06,84200
494,"Arvada city, Colorado",1600000US0803455,69701,69701,99924,69701,-888888888.0,0,30223,67303,2398,6842,5243,31646,30884,50416,31646,15034,11789,08,03455
495,"Boulder city, Colorado",1600000US0807850,61881,61881,95034,61881,-888888888.0,0,33153,59734,2147,4699,3326,30323,29058,47381,30323,8794,6456,08,07850
496,"Hartford city, Connecticut",1600000US0937000,54220,54073,95332,54073,-888888888.0,147,41112,49218,4855,9978,6484,28893,26628,50644,28893,18977,13057,09,37000
497,"New Britain city, Connecticut",1600000US0950370,36786,36786,57214,36786,-888888888.0,0,20428,33641,3145,6359,4739,16544,15487,29005,16544,9560,7891,09,50370
498,"Alafaya CDP, Florida",1600000US1200410,54009,53660,75700,53660,-888888888.0,349,21691,52361,1299,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,00410
