,STATE,zipcode,N1,N02650,A02650,avg_income
207,AL,35549,1380.0,1380.0,53492.0,38.76231884057971
208,AL,35550,1850.0,1850.0,84421.0,45.63297297297297
209,AL,35552,350.0,350.0,13994.0,39.98285714285714
210,AL,35553,1670.0,1670.0,80113.0,47.97185628742515
211,AL,35554,420.0,420.0,19090.0,45.45238095238095
212,AL,35555,3680.0,3680.0,162280.0,44.09782608695652
213,AL,35563,1600.0,1600.0,76229.0,47.643125
214,AL,35564,780.0,780.0,30158.0,38.66410256410256
215,AL,35565,4740.0,4740.0,206790.0,43.62658227848101
216,AL,35570,3900.0,3900.0,169941.0,43.574615384615385
217,AL,35571,310.0,310.0,13768.0,44.41290322580645
218,AL,35572,370.0,370.0,20050.0,54.189189189189186
219,AL,35574,540.0,540.0,26191.0,48.50185185185185
220,AL,35575,370.0,370.0,16480.0,44.54054054054054
221,AL,35576,1160.0,1160.0,54702.0,47.15689655172414
222,AL,35578,1820.0,1820.0,76707.0,42.14670329670329
223,AL,35579,1170.0,1170.0,52445.0,44.824786324786324
224,AL,35580,1470.0,1470.0,68690.0,46.72789115646258
225,AL,35581,1890.0,1890.0,78483.0,41.525396825396825
226,AL,35582,1650.0,1650.0,85486.0,51.80969696969697
227,AL,35585,600.0,600.0,26563.0,44.27166666666667
228,AL,35586,1600.0,1600.0,66728.0,41.705
229,AL,35587,320.0,320.0,14148.0,44.2125
230,AL,35592,1660.0,1660.0,75702.0,45.60361445783133
231,AL,35593,650.0,650.0,28065.0,43.176923076923075
232,AL,35594,2910.0,2910.0,143856.0,49.435051546391755
233,AL,35601,13710.0,13710.0,633095.0,46.17760758570387
234,AL,35603,14150.0,14150.0,948426.0,67.02657243816255
235,AL,35610,750.0,750.0,35684.0,47.57866666666666
236,AL,35611,10320.0,10320.0,490530.0,47.531976744186046
237,AL,35613,9490.0,9490.0,750564.0,79.0899894625922
238,AL,35614,3030.0,3030.0,140695.0,46.43399339933993
239,AL,35616,1430.0,1430.0,64634.0,45.1986013986014
240,AL,35618,760.0,760.0,29133.0,38.33289473684211
241,AL,35619,2060.0,2060.0,98618.0,47.872815533980585
242,AL,35620,3820.0,3820.0,193172.0,50.56858638743456
243,AL,35621,1230.0,1230.0,59509.0,48.38130081300813
244,AL,35622,2750.0,2750.0,123675.0,44.972727272727276
245,AL,35630,12590.0,12590.0,568696.0,45.17045274027006
246,AL,35633,8580.0,8580.0,461377.0,53.77354312354312
247,AL,35634,4470.0,4470.0,343519.0,76.84988814317673
248,AL,35640,10750.0,10750.0,617760.0,57.46604651162791
249,AL,35643,1280.0,1280.0,52662.0,41.1421875
250,AL,35645,5800.0,5800.0,381483.0,65.77293103448275
251,AL,35646,1790.0,1790.0,83491.0,46.643016759776536
252,AL,35647,430.0,430.0,21449.0,49.88139534883721
253,AL,35648,1570.0,1570.0,77697.0,49.488535031847135
254,AL,35650,5410.0,5410.0,262119.0,48.45083179297597
255,AL,35651,430.0,430.0,19311.0,44.90930232558139
256,AL,35652,3420.0,3420.0,189538.0,55.42046783625731
257,AL,35653,4450.0,4450.0,196946.0,44.25752808988764
258,AL,35654,3090.0,3090.0,127734.0,41.337864077669906
259,AL,35660,3790.0,3790.0,153017.0,40.37387862796834
260,AL,35661,7820.0,7820.0,515355.0,65.90217391304348
261,AL,35670,3170.0,3170.0,168759.0,53.23627760252366
262,AL,35671,870.0,870.0,43832.0,50.3816091954023
263,AL,35672,2460.0,2460.0,119253.0,48.47682926829268
264,AL,35673,3380.0,3380.0,175235.0,51.844674556213015
265,AL,35674,8020.0,8020.0,419047.0,52.25024937655861
266,AL,35677,700.0,700.0,29439.0,42.05571428571429
267,AL,35739,2170.0,2170.0,111621.0,51.43824884792627
268,AL,35740,1310.0,1310.0,57967.0,44.249618320610686
269,AL,35741,1510.0,1510.0,159449.0,105.5953642384106
270,AL,35744,960.0,960.0,39335.0,40.973958333333336
271,AL,35746,330.0,330.0,14174.0,42.95151515151515
272,AL,35747,2440.0,2440.0,135508.0,55.53606557377049
273,AL,35748,3250.0,3250.0,275356.0,84.72492307692308
274,AL,35749,11660.0,11660.0,793591.0,68.06097770154373
275,AL,35750,5980.0,5980.0,315165.0,52.703177257525084
276,AL,35752,820.0,820.0,36814.0,44.895121951219515
277,AL,35754,2150.0,2150.0,120327.0,55.96604651162791
278,AL,35755,270.0,270.0,14499.0,53.7
279,AL,35756,8230.0,8230.0,716567.0,87.06767922235723
280,AL,35757,7560.0,7560.0,578348.0,76.5010582010582
281,AL,35758,21250.0,21250.0,1944263.0,91.49472941176471
282,AL,35759,4220.0,4220.0,290792.0,68.90805687203792
283,AL,35760,2040.0,2040.0,105886.0,51.904901960784315
284,AL,35761,5250.0,5250.0,336565.0,64.10761904761905
285,AL,35763,8660.0,8660.0,940192.0,108.56720554272518
286,AL,35764,230.0,230.0,8990.0,39.08695652173913
287,AL,35765,1450.0,1450.0,61244.0,42.23724137931035
288,AL,35768,4630.0,4630.0,217655.0,47.0097192224622
289,AL,35769,4210.0,4210.0,305228.0,72.50071258907363
290,AL,35771,1390.0,1390.0,59528.0,42.82589928057554
291,AL,35772,1810.0,1810.0,77559.0,42.85027624309392
292,AL,35773,5530.0,5530.0,294201.0,53.20090415913201
293,AL,35775,310.0,310.0,12156.0,39.21290322580645
294,AL,35776,1430.0,1430.0,62498.0,43.70489510489511
295,AL,35801,10260.0,10260.0,1253860.0,122.20857699805069
296,AL,35802,11270.0,11270.0,1067045.0,94.68012422360249
297,AL,35803,13550.0,13550.0,1048248.0,77.36147601476014
298,AL,35805,8080.0,8080.0,214695.0,26.571163366336634
299,AL,35806,11630.0,11630.0,863692.0,74.26414445399828
300,AL,35808,440.0,440.0,41520.0,94.36363636363636
301,AL,35810,13490.0,13490.0,459532.0,34.0646404744255
302,AL,35811,12790.0,12790.0,794429.0,62.11329163408913
303,AL,35816,5740.0,5740.0,162005.0,28.223867595818817
304,AL,35824,4410.0,4410.0,362802.0,82.26802721088436
305,AL,35901,7390.0,7390.0,428174.0,57.93964817320704
306,AL,35903,7190.0,7190.0,287623.0,40.00319888734353
307,AL,35904,5210.0,5210.0,199307.0,38.254702495201535
308,AL,35905,2690.0,2690.0,136524.0,50.752416356877326
309,AL,35906,4540.0,4540.0,250124.0,55.09339207048458
310,AL,35907,3890.0,3890.0,248712.0,63.93624678663239
311,AL,35950,8640.0,8640.0,352638.0,40.81458333333333
312,AL,35951,5070.0,5070.0,204405.0,40.31656804733728
313,AL,35952,2690.0,2690.0,114392.0,42.52490706319703
314,AL,35953,2970.0,2970.0,147742.0,49.74478114478114
315,AL,35954,4650.0,4650.0,182893.0,39.331827956989244
316,AL,35956,3450.0,3450.0,155266.0,45.00463768115942
317,AL,35957,6340.0,6340.0,263155.0,41.50709779179811
318,AL,35958,1150.0,1150.0,54709.0,47.57304347826087
319,AL,35959,1790.0,1790.0,84948.0,47.456983240223465
320,AL,35960,3700.0,3700.0,187261.0,50.61108108108108
321,AL,35961,2250.0,2250.0,84027.0,37.345333333333336
322,AL,35962,2640.0,2640.0,107405.0,40.683712121212125
323,AL,35963,600.0,600.0,23114.0,38.52333333333333
324,AL,35966,1290.0,1290.0,57931.0,44.90775193798449
325,AL,35967,6200.0,6200.0,285187.0,45.99790322580645
326,AL,35968,2220.0,2220.0,109733.0,49.42927927927928
327,AL,35971,1770.0,1770.0,79350.0,44.83050847457627
328,AL,35972,510.0,510.0,23316.0,45.71764705882353
329,AL,35973,1020.0,1020.0,42575.0,41.740196078431374
330,AL,35974,710.0,710.0,28971.0,40.804225352112674
331,AL,35975,370.0,370.0,16902.0,45.68108108108108
332,AL,35976,7050.0,7050.0,523059.0,74.19276595744681
333,AL,35978,2020.0,2020.0,97657.0,48.345049504950495
334,AL,35979,530.0,530.0,20149.0,38.01698113207547
335,AL,35980,1820.0,1820.0,71836.0,39.47032967032967
336,AL,35981,760.0,760.0,32122.0,42.26578947368421
337,AL,35983,1430.0,1430.0,67562.0,47.246153846153845
338,AL,35984,800.0,800.0,41278.0,51.5975
339,AL,35986,3110.0,3110.0,146777.0,47.195176848874596
340,AL,35987,970.0,970.0,44503.0,45.87938144329897
341,AL,35988,690.0,690.0,27498.0,39.85217391304348
342,AL,35989,1280.0,1280.0,63208.0,49.38125
343,AL,36003,760.0,760.0,34599.0,45.525
344,AL,36005,700.0,700.0,31555.0,45.07857142857143
