,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,GEO_ID,NAME,S0201_213E,S0201_214E,S0201_215E,S0201_216E,S0201_217E,S0201_218E,S0201_219E,S0201_220E,S0201_221E,S0201_222E,S0201_223E,S0201_224E,S0201_225E,S0201_226E,S0201_227E,S0201_228E,S0201_229E,S0201_230E,S0201_231E,S0201_232E,S0201_233E,S0201_234E,S0201_235E,S0201_236E,S0201_237E,S0201_238E,S0201_239E,S0201_240E,S0201_241E,S0201_294E,S0201_295E,S0201_296E,S0201_301E,S0201_302E,S0201_303E,state,county
45,0500000US09009,"New Haven County, Connecticut",335539,67845,77.2,98193,33,20637,5.8,10498,3.5,4782,18.9,28150,14.3,207727,87632,68.6,109594,7.7,72987,23.6,42458,857620,38305,161220,131452,83166,63688,62166,51845,133833,67.9,32.1,123371,46.5,53.5,09,009
46,0500000US09003,"Hartford County, Connecticut",348049,73151,77.5,106894,31.3,20218,4.9,10341,4,3780,19.4,30669,13.5,223589,93319,69.9,115951,8,63625,22.1,41270,892697,40806,179666,139142,89100,67447,65458,55454,152234,72.4,27.6,114954,49,51,09,003
47,0500000US09001,"Fairfield County, Connecticut",345634,91079,82,152137,29.4,21724,3.7,9652,1.5,3766,16.4,34552,8.3,237407,115811,76.8,144494,6.3,75372,16.9,51294,943823,56135,193429,136380,135903,82407,74665,60874,155751,64.5,35.5,112953,44.7,55.3,09,001
48,0500000US12031,"Duval County, Florida",367238,55832,80,79031,28.4,18227,5.9,9514,3.1,2108,17.8,30264,17.4,229923,64923,63.7,84457,9.2,44094,27,37393,950181,31993,198272,156658,65119,48457,46422,39629,133895,71.2,28.8,156870,49.7,50.3,12,031
49,0500000US12009,"Brevard County, Florida",226363,57888,66.9,76067,45.3,20309,4.9,10469,1.9,1954,26.6,30758,10.7,140955,74529,77.1,86182,6.5,50981,16.4,39777,596849,31082,103912,76046,64923,48920,50731,39949,96278,71.2,28.8,51930,42.5,57.5,12,009
50,0500000US12103,"Pinellas County, Florida",405892,52198,68.4,77980,42.2,19099,4,10834,2,2442,22.9,26270,10,221744,71151,72.1,84345,6.9,48568,21,41805,975280,34163,171918,160122,66428,51950,47572,40858,139446,68.7,31.3,126688,46.4,53.6,12,103
51,0500000US12105,"Polk County, Florida",241171,51670,69.3,68921,41.2,20108,6.9,10189,3.1,3558,21.2,26208,14.8,166438,59360,70.6,69393,8.7,45388,20.7,36133,708009,24985,127688,102406,52676,41232,41124,33093,85134,71.3,28.7,67486,53.8,46.2,12,105
52,0500000US12099,"Palm Beach County, Florida",552286,61691,69,96181,41.7,21363,4,10310,2,2315,18.8,31533,10.1,337212,76753,74.7,91786,7.2,51044,18.2,44116,1485941,38805,272966,206801,78345,54972,49620,41367,204460,62.3,37.7,154667,39.3,60.7,12,099
53,0500000US12086,"Miami-Dade County, Florida",895801,52205,81.1,81870,30,15518,6.7,8182,2.8,2034,8.5,25170,25,622526,58389,63.4,73331,9.8,46429,26.8,36351,2761581,28208,588596,463840,60348,45574,38978,34618,272342,55.9,44.1,413924,35.7,64.3,12,086
54,0500000US48491,"Williamson County, Texas",185345,87454,85.4,101831,24,21406,3.3,9486,1.2,3507,18.2,30198,4.6,135729,99470,79.8,111263,5.7,64707,14.5,52869,566719,36274,126948,93039,77420,57210,65136,49162,93179,73.4,26.6,55099,52,48,48,491
55,0500000US48201,"Harris County, Texas",1600357,60232,86,88716,21.2,18689,4.2,8861,1.6,2807,10.3,25875,14.2,1102826,68340,67.6,89053,8.8,48726,23.6,35081,4698619,31293,1011169,696715,71830,53984,48176,41283,514381,72.3,27.7,693526,50.1,49.9,48,201
56,0500000US48113,"Dallas County, Texas",937438,59839,86.2,88489,20.7,18593,3.6,8831,1.3,3136,10.2,25430,9.9,601367,67315,67.7,86424,8.9,51136,23.5,37836,2637772,32467,591506,424390,70625,52990,46413,40700,275455,70.7,29.3,455729,52.8,47.2,48,113
57,0500000US48339,"Montgomery County, Texas",202797,76929,83.1,115305,25.9,20266,4.6,9147,0.9,1656,15.2,32303,7.6,147327,93848,80.2,109986,5.7,60896,14.1,43482,590925,39597,134200,82237,94760,59697,61502,46836,90027,73,27,53193,58.3,41.7,48,339
58,0500000US48157,"Fort Bend County, Texas",245410,91931,88.6,120345,22.4,20070,2.7,9473,1.5,4334,14.1,27639,7.2,199146,103717,81.2,117186,4.9,87745,14,49690,787858,38710,161219,121752,97701,62218,69537,51884,127159,69.7,30.3,49608,49.6,50.4,48,157
59,0500000US48439,"Tarrant County, Texas",722473,66063,84.7,92063,22.8,19189,4.2,9426,2,2830,14.6,27879,10.4,502918,77093,71.1,95267,8,54796,20.9,43076,2084931,32939,449137,332254,73332,52035,51351,41576,273021,74.4,25.6,281893,51.2,48.8,48,439
60,0500000US12071,"Lee County, Florida",281222,56129,63.9,76614,48.7,21674,3.9,10590,1.7,2350,25.1,33209,7.8,180020,68820,79.1,77429,6.6,50159,14.3,38104,754610,33010,129682,98621,60490,47937,41672,38273,104256,65.7,34.3,71442,44.6,55.4,12,071
61,0500000US12095,"Orange County, Florida",458157,58588,83.1,83951,25.2,18022,4.5,8818,2.3,2853,12.7,25173,15.9,298508,67012,70.1,83544,8.8,55769,21.1,36187,1380645,29830,273803,220122,67158,47969,43222,37255,171849,70,30,196248,42.9,57.1,12,095
62,0500000US12101,"Pasco County, Florida",205128,54208,67.1,75812,42.9,20285,6.4,11727,2.5,2583,23.3,25491,13.4,131802,67776,76.1,75424,5.9,60867,17.9,39647,539630,28478,89815,73638,63375,48804,47860,40449,82714,72.2,27.8,50701,48.9,51.1,12,101
63,0500000US12127,"Volusia County, Florida",218423,50361,67.3,69095,42.6,19989,5.2,10683,2.2,2301,24.8,27353,13.2,131946,62520,74.9,71020,8.5,45830,16.6,41832,547538,29095,93438,77007,60934,44291,43346,35448,85110,68.2,31.8,57032,43.2,56.8,12,127
64,0500000US12011,"Broward County, Florida",694980,57278,78.8,86969,30.8,17954,4.3,9387,1.7,2347,13.6,26412,13.9,439980,70232,68,84325,8.7,60233,23.3,44755,1951260,32368,389632,309852,69016,53648,45949,41422,255890,58.4,41.6,248705,38.7,61.3,12,011
65,0500000US12057,"Hillsborough County, Florida",540142,58480,79.8,85585,29.1,18660,5,9877,1.9,2273,16.3,26241,12.9,342998,72646,70.3,91503,8.4,52163,21.3,38925,1436888,32445,293056,228527,71699,51263,50181,40610,202672,72.4,27.6,213962,47,53,12,057
66,0500000US13135,"Gwinnett County, Georgia",297658,72184,86.9,92118,21.4,19661,3,10081,0.7,1606,12.3,25842,7,223536,81018,74.7,94484,6.4,60308,18.9,41587,927781,30556,194941,158151,70331,51769,50983,40919,142544,73.9,26.1,98622,48.1,51.9,13,135
67,0500000US49049,"Utah County, Utah",171117,75349,89.7,90646,19.9,21055,2.7,10725,1.5,3726,14.3,27517,5.6,140373,79900,85.6,86721,4.9,50403,9.5,47123,622213,26694,117342,52681,77487,46108,60190,37052,88370,75.6,24.4,50435,53.1,46.9,49,049
68,0500000US13089,"DeKalb County, Georgia",287001,64461,82.4,95618,24.5,18711,3.9,8794,0.9,3021,16.6,26904,12,165666,80332,63.3,108206,8.1,51534,28.7,45988,756558,36987,153690,140107,77902,61004,51701,46141,116338,74,26,121948,48.5,51.5,13,089
69,0500000US42045,"Delaware County, Pennsylvania",207499,72045,78,108678,33.5,19957,5.7,10621,2.3,1389,20,27466,12,139055,93696,71.8,119493,7.6,65048,20.6,46283,564751,39085,110852,90867,88553,63398,61009,50116,90882,72.1,27.9,66714,51.4,48.6,42,045
70,0500000US42101,"Philadelphia County, Pennsylvania",608233,46116,73.8,76623,29.7,16191,10.8,9810,5.6,2289,15.1,20741,26.6,325909,55109,51.4,81962,10.3,44283,38.3,33789,1584138,28379,255263,252577,66914,54579,49965,42879,189393,67.8,32.2,264075,46.1,53.9,42,101
71,0500000US42003,"Allegheny County, Pennsylvania",543369,59899,75.6,90182,33.6,19435,5.2,9150,3.4,2284,19.9,23035,12.3,303257,86665,74.8,102289,7.1,62255,18.1,38543,1218452,38472,252244,201464,81071,57311,59338,46409,212569,80.2,19.8,177541,54,46,42,003
72,0500000US42029,"Chester County, Pennsylvania",192746,99119,82.9,130914,29.9,23111,2.7,11046,1.6,1988,19.3,29123,4.3,138582,117435,83,132115,4.6,79472,12.4,57542,522046,49368,118808,79232,106871,73762,75722,57810,98806,76.2,23.8,46087,55.6,44.4,42,029
73,0500000US49035,"Salt Lake County, Utah",381831,73801,85.1,97140,23.3,20765,3.1,11373,1.4,3454,15.1,27360,6.5,265179,88889,78.5,100351,7.2,61017,14.4,48620,1152633,33658,257881,169458,75072,50314,51867,41489,182618,76,24,120963,55.4,44.6,49,035
74,0500000US13067,"Cobb County, Georgia",283094,78894,86.7,104656,22.8,22213,3.2,10302,0.4,1815,14.6,30395,5.7,191753,96448,74.9,115094,5.6,55477,19.4,54567,756865,40202,171800,133017,85645,61980,61080,51789,131509,78.6,21.4,96768,53.3,46.7,13,067
75,0500000US13121,"Fulton County, Georgia",417157,70930,83,116796,21.6,18746,4.5,9610,0.9,2021,13.7,32272,10.4,230448,89964,67.9,133028,7.7,52685,24.4,44116,1050114,47866,230300,183135,107992,65407,66796,52196,164201,74.7,25.3,186572,51.8,48.2,13,121
76,0500000US15003,"Honolulu County, Hawaii",308208,84423,82.8,99717,34.5,20323,4.4,10851,2.3,4554,24.2,35601,8.3,215379,101386,75,110911,6.9,86719,18.1,63340,980080,35958,218563,162826,66892,53681,52108,43855,113081,61.9,38.1,127533,45,55,15,003
77,0500000US17043,"DuPage County, Illinois",345714,93750,83.6,124936,26.9,21786,2.7,11103,1.1,2401,16.9,33680,5.9,244235,114695,82.2,125401,5.3,78375,12.5,61934,928589,46703,210501,141895,103047,69081,74999,53556,166885,73.5,26.5,89734,56.5,43.5,17,043
78,0500000US17031,"Cook County, Illinois",1981796,63353,79.5,99706,26.7,18451,5.5,9786,2.4,2649,14.3,30800,13.9,1181463,77744,67.6,101196,8.3,55114,24.1,40830,5180493,37538,1044544,834711,82808,63713,56384,49969,717124,65.9,34.1,798350,51.6,48.4,17,031
79,0500000US29189,"St. Louis County, Missouri",408117,66778,77.7,99701,32.7,20531,4.7,10265,1.1,2255,21.1,25118,8.4,261684,86824,72.8,108800,6.5,58062,20.7,41794,996945,40843,192786,167576,91736,59040,61784,46187,178891,77.9,22.1,126536,54.4,45.6,29,189
80,0500000US29095,"Jackson County, Missouri",288752,55929,79.1,75913,29.5,19284,4.6,9612,2.7,2359,18.5,23882,10.6,170337,71506,67.4,86974,7.2,56518,25.4,35688,700307,31037,140430,119554,64238,51522,50274,40642,107471,78.4,21.6,112468,53.2,46.8,29,095
81,0500000US51059,"Fairfax County, Virginia",396628,122227,87,150786,22.8,21386,2.7,9481,0.9,4022,19.3,52310,3.8,284876,142961,81.2,162269,5.9,89841,12.9,66839,1150795,55767,269642,192829,116492,84843,90596,67347,205529,73.9,26.1,119919,53.9,46.1,51,059
82,0500000US53063,"Spokane County, Washington",206191,59783,75.7,78590,33.9,19512,6.6,9990,3.9,2265,19.8,24328,16.2,129299,73709,75.4,84823,7.4,52569,17.1,33400,514631,31360,94460,67865,70156,50740,51300,41533,86436,72.1,27.9,72622,49.7,50.3,53,063
83,0500000US53033,"King County, Washington",897476,95009,84.4,131212,22.4,21072,3.6,10058,2.3,2924,14.5,29040,7.9,536144,117340,79.3,135383,6.8,73305,13.9,52445,2233163,52804,515759,363535,110606,77417,80353,61336,357709,70.6,29.4,382083,54.7,45.3,53,033
84,0500000US17089,"Kane County, Illinois",183633,79818,81.9,106564,27.8,21182,2.8,10858,1.2,3105,16.9,30918,9.3,136596,91813,75.6,109133,7.4,54611,16.9,43973,534216,36777,116599,78044,79007,61138,57047,45006,96455,72.2,27.8,42443,50.4,49.6,17,089
85,0500000US17197,"Will County, Illinois",231647,85818,83.6,106728,27.5,21190,3.6,11007,1.9,2311,18.4,34647,9.6,175294,100865,78.7,116083,6.4,63025,14.9,49510,692310,36541,147453,103837,83551,57326,66432,50035,131471,74.6,25.4,42584,49.5,50.5,17,197
86,0500000US17097,"Lake County, Illinois",246620,87133,82.1,125905,27.8,21087,3.3,10871,1.2,2525,16.7,31090,8.2,178902,103975,80.1,118324,5.8,66375,14.1,50499,700832,45088,153302,105895,101100,68822,65408,51113,120555,71.1,28.9,61356,54.5,45.5,17,097
